order_id,customer_id,order_date,order_status,payment_method,shipping_method
53,228,2024-12-25,Shipped,M-Pesa,Pickup
54,181,2025-09-21,Shipped,Bank Transfer,Pickup
55,30,2024-03-17,Cancelled,Cash,Express
56,263,2025-11-26,Completed,M-Pesa,Standard
57,225,2024-02-05,Completed,M-Pesa,Standard
58,188,2025-01-05,Shipped,M-Pesa,Pickup
59,79,2025-11-26,Shipped,Bank Transfer,Express
60,228,2024-03-19,Processing,Card,Pickup
61,188,2025-02-11,Completed,Bank Transfer,Standard
62,59,2024-01-27,Cancelled,Card,Express
63,266,2025-01-31,Processing,M-Pesa,Express
64,134,2025-12-21,Shipped,Card,Pickup
65,147,2025-12-11,Shipped,Card,Standard
66,70,2024-03-16,Shipped,Card,Pickup
67,228,2024-03-30,Returned,Bank Transfer,Pickup
68,178,2025-12-27,Completed,Bank Transfer,Express
69,81,2025-12-29,Cancelled,Card,Express
70,261,2024-08-17,Completed,Card,Standard
71,122,2025-05-20,Completed,Bank Transfer,Pickup
72,294,2025-01-12,Shipped,Card,Pickup
73,45,2024-03-08,Completed,Cash,Pickup
74,246,2025-06-22,Shipped,Cash,Pickup
75,38,2024-05-08,Completed,M-Pesa,Express
76,239,2025-11-27,Processing,Bank Transfer,Standard
77,283,2025-10-17,Processing,Card,Standard
78,222,2025-05-29,Returned,M-Pesa,Standard
79,266,2024-06-05,Completed,Card,Standard
80,166,2025-12-27,Completed,Bank Transfer,Pickup
81,146,2024-03-21,Completed,Card,Pickup
82,283,2024-10-08,Completed,Bank Transfer,Pickup
83,274,2024-04-05,Processing,Card,Pickup
84,298,2024-06-06,Completed,Bank Transfer,Pickup
85,22,2024-01-30,Completed,M-Pesa,Pickup
86,296,2024-09-28,Cancelled,Card,Pickup
87,214,2025-09-24,Cancelled,M-Pesa,Express
88,280,2024-10-23,Cancelled,Bank Transfer,Express
89,126,2025-12-02,Shipped,Bank Transfer,Express
90,38,2025-12-06,Completed,Card,Express
91,213,2025-05-10,Shipped,Card,Express
92,74,2024-11-16,Returned,Bank Transfer,Pickup
93,177,2025-02-12,Completed,Bank Transfer,Pickup
94,288,2024-04-18,Completed,Card,Express
95,63,2024-09-30,Shipped,Card,Standard
96,50,2024-02-21,Completed,Cash,Pickup
97,215,2024-09-11,Returned,Card,Express
98,296,2024-11-16,Completed,Card,Express
99,264,2025-04-23,Shipped,Bank Transfer,Express
100,12,2024-04-02,Shipped,Cash,Standard
101,111,2025-08-20,Completed,M-Pesa,Standard
102,145,2025-05-21,Processing,Cash,Express
103,275,2024-01-09,Returned,M-Pesa,Express
104,69,2024-09-27,Cancelled,Bank Transfer,Express
105,188,2024-02-16,Shipped,M-Pesa,Pickup
106,288,2024-07-18,Completed,Bank Transfer,Standard
107,198,2025-05-31,Shipped,Bank Transfer,Pickup
108,61,2024-05-11,Completed,Cash,Express
109,174,2025-07-25,Completed,Card,Standard
110,261,2025-02-15,Processing,M-Pesa,Standard
111,20,2024-05-20,Cancelled,Bank Transfer,Express
112,266,2025-04-12,Completed,Card,Express
113,164,2024-06-15,Shipped,Bank Transfer,Pickup
114,173,2025-06-03,Returned,Cash,Pickup
115,289,2024-11-02,Shipped,M-Pesa,Express
116,170,2025-11-20,Completed,Cash,Pickup
117,158,2025-12-05,Cancelled,M-Pesa,Pickup
118,243,2024-09-28,Cancelled,Card,Pickup
119,27,2025-08-20,Shipped,Card,Pickup
120,195,2024-05-31,Returned,Card,Standard
121,294,2025-12-18,Completed,Card,Standard
122,226,2024-11-17,Shipped,Card,Express
123,105,2025-02-24,Processing,Cash,Pickup
124,32,2025-12-23,Completed,Card,Pickup
125,167,2025-11-09,Shipped,Cash,Express
126,89,2025-04-15,Processing,Bank Transfer,Pickup
127,182,2025-11-23,Returned,Bank Transfer,Pickup
128,248,2024-07-15,Completed,Bank Transfer,Pickup
129,153,2024-08-18,Completed,Bank Transfer,Pickup
130,107,2025-12-07,Cancelled,Cash,Express
131,246,2024-12-23,Processing,Bank Transfer,Express
132,63,2025-08-10,Cancelled,Cash,Express
133,177,2024-05-29,Completed,M-Pesa,Express
134,41,2024-12-20,Shipped,Bank Transfer,Pickup
135,246,2024-08-07,Completed,Bank Transfer,Pickup
136,140,2024-05-20,Completed,Card,Standard
137,26,2025-11-16,Processing,Card,Pickup
138,120,2024-02-23,Completed,Cash,Express
139,242,2024-04-12,Cancelled,Card,Standard
140,282,2024-06-10,Shipped,Cash,Express
141,103,2024-10-21,Completed,Bank Transfer,Pickup
142,31,2024-04-01,Cancelled,Card,Pickup
143,20,2024-06-28,Shipped,Card,Standard
144,204,2025-05-22,Completed,Bank Transfer,Standard
145,5,2024-11-01,Processing,M-Pesa,Express
146,146,2025-04-10,Cancelled,Cash,Standard
147,259,2025-04-24,Completed,Card,Standard
148,170,2024-06-15,Cancelled,Cash,Pickup
149,132,2024-07-09,Completed,Bank Transfer,Express
150,291,2025-11-21,Returned,Card,Standard
151,208,2025-03-13,Processing,Bank Transfer,Standard
152,206,2025-11-16,Completed,Card,Standard
153,245,2024-11-27,Completed,M-Pesa,Express
154,197,2024-08-29,Shipped,Bank Transfer,Express
155,155,2025-08-19,Cancelled,M-Pesa,Express
156,185,2025-12-10,Completed,M-Pesa,Pickup
157,61,2025-04-21,Completed,Card,Express
158,258,2025-12-21,Returned,Bank Transfer,Pickup
159,61,2025-10-16,Completed,Bank Transfer,Pickup
160,114,2024-08-12,Completed,Cash,Standard
161,233,2025-09-12,Completed,Cash,Pickup
162,282,2025-04-27,Returned,Card,Standard
163,42,2025-06-22,Shipped,Bank Transfer,Standard
164,289,2024-04-24,Completed,Card,Pickup
165,275,2024-06-02,Completed,Bank Transfer,Pickup
166,227,2024-04-29,Cancelled,Card,Pickup
167,299,2025-05-15,Completed,Cash,Standard
168,233,2024-05-15,Processing,Cash,Express
169,289,2024-02-29,Processing,Cash,Pickup
170,158,2024-01-23,Shipped,Bank Transfer,Standard
171,112,2025-08-15,Completed,M-Pesa,Express
172,177,2025-12-18,Completed,M-Pesa,Standard
173,242,2024-02-02,Completed,Cash,Standard
174,70,2025-10-18,Cancelled,Cash,Express
175,196,2025-04-04,Returned,Cash,Express
176,42,2025-11-30,Cancelled,Card,Pickup
177,179,2024-05-01,Completed,Cash,Pickup
178,66,2024-08-16,Returned,M-Pesa,Standard
179,153,2025-04-19,Cancelled,Cash,Pickup
180,195,2024-08-23,Completed,Cash,Express
181,80,2024-10-09,Completed,M-Pesa,Standard
182,215,2025-09-21,Returned,M-Pesa,Standard
183,106,2024-03-09,Completed,M-Pesa,Express
184,25,2024-09-07,Cancelled,M-Pesa,Express
185,225,2024-08-27,Processing,Card,Standard
186,72,2025-05-30,Completed,Card,Pickup
187,295,2024-11-22,Processing,Bank Transfer,Standard
188,155,2024-05-26,Cancelled,Card,Express
189,154,2024-10-08,Completed,Card,Pickup
190,219,2025-07-23,Shipped,M-Pesa,Express
191,196,2025-06-21,Completed,Cash,Express
192,77,2024-11-03,Shipped,Card,Pickup
193,243,2024-09-03,Returned,Card,Express
194,74,2025-04-19,Completed,Cash,Express
195,286,2025-06-26,Completed,Cash,Standard
196,131,2024-07-27,Completed,M-Pesa,Express
197,190,2024-04-04,Processing,Card,Standard
198,138,2025-01-21,Cancelled,M-Pesa,Standard
199,97,2025-08-24,Cancelled,Card,Express
200,107,2024-12-06,Completed,M-Pesa,Standard
201,98,2024-04-30,Cancelled,Cash,Standard
202,105,2025-02-10,Completed,Bank Transfer,Express
203,195,2025-04-22,Processing,Bank Transfer,Express
204,134,2025-01-03,Processing,Cash,Express
205,51,2025-04-25,Returned,Bank Transfer,Standard
206,190,2024-11-16,Shipped,M-Pesa,Pickup
207,114,2024-05-29,Completed,Bank Transfer,Pickup
208,300,2025-08-16,Cancelled,Cash,Express
209,79,2024-07-19,Completed,Card,Express
210,292,2024-09-08,Shipped,Bank Transfer,Express
211,251,2025-10-19,Cancelled,Cash,Express
212,87,2024-12-26,Completed,Card,Pickup
213,280,2025-05-15,Completed,M-Pesa,Pickup
214,18,2024-03-17,Returned,M-Pesa,Standard
215,212,2024-05-20,Returned,Card,Standard
216,78,2024-01-10,Completed,Cash,Express
217,31,2025-09-24,Cancelled,Cash,Pickup
218,250,2024-01-17,Completed,Cash,Standard
219,9,2025-06-26,Cancelled,Bank Transfer,Pickup
220,147,2024-01-18,Processing,Cash,Standard
221,55,2024-04-08,Processing,Card,Standard
222,99,2025-09-26,Processing,Bank Transfer,Express
223,137,2025-02-10,Completed,Bank Transfer,Express
224,236,2025-08-01,Completed,Card,Express
225,42,2025-10-31,Returned,M-Pesa,Standard
226,208,2025-01-23,Shipped,Cash,Standard
227,5,2025-12-20,Completed,M-Pesa,Express
228,223,2025-10-22,Returned,Bank Transfer,Pickup
229,49,2025-06-24,Completed,Card,Standard
230,291,2025-05-01,Completed,M-Pesa,Standard
231,144,2025-07-10,Processing,M-Pesa,Standard
232,162,2024-01-17,Completed,Card,Pickup
233,204,2024-03-19,Completed,Card,Pickup
234,124,2025-08-03,Returned,Cash,Pickup
235,277,2024-12-05,Shipped,Card,Pickup
236,41,2025-05-27,Cancelled,Bank Transfer,Standard
237,51,2025-03-23,Completed,M-Pesa,Express
238,204,2024-11-30,Completed,Bank Transfer,Express
239,252,2024-08-21,Completed,Cash,Express
240,96,2025-11-27,Processing,Cash,Standard
241,152,2024-09-09,Cancelled,M-Pesa,Standard
242,138,2024-06-06,Shipped,Card,Pickup
243,200,2024-11-20,Completed,M-Pesa,Standard
244,3,2024-11-11,Shipped,Bank Transfer,Express
245,53,2024-05-15,Completed,Card,Express
246,230,2025-07-24,Processing,Cash,Standard
247,14,2024-04-01,Completed,M-Pesa,Pickup
248,167,2025-01-29,Completed,Bank Transfer,Express
249,199,2024-03-27,Cancelled,Card,Pickup
250,267,2024-06-22,Cancelled,Cash,Standard
251,72,2024-10-02,Completed,Bank Transfer,Express
252,75,2024-03-05,Completed,Cash,Express
253,216,2024-11-02,Shipped,M-Pesa,Express
254,129,2024-09-09,Cancelled,Cash,Pickup
255,101,2025-04-13,Completed,Card,Express
256,4,2025-02-09,Completed,Cash,Express
257,226,2024-12-08,Shipped,Card,Express
258,165,2025-09-09,Cancelled,Card,Express
259,161,2024-06-30,Shipped,Bank Transfer,Express
260,252,2025-08-12,Returned,Card,Express
261,193,2024-10-14,Returned,Cash,Express
262,59,2025-07-31,Completed,Card,Pickup
263,282,2024-01-28,Cancelled,Cash,Pickup
264,108,2025-03-24,Returned,Bank Transfer,Pickup
265,36,2025-02-22,Cancelled,Cash,Standard
266,156,2024-09-04,Completed,Card,Pickup
267,217,2025-01-21,Completed,Cash,Pickup
268,246,2025-08-19,Shipped,Cash,Pickup
269,19,2025-01-03,Cancelled,M-Pesa,Standard
270,128,2025-11-04,Cancelled,Bank Transfer,Standard
271,23,2025-07-30,Cancelled,Cash,Express
272,221,2024-04-18,Completed,M-Pesa,Express
273,114,2025-06-06,Cancelled,Card,Express
274,192,2025-02-04,Shipped,Card,Express
275,13,2025-05-09,Completed,Bank Transfer,Express
276,44,2024-04-28,Returned,Card,Express
277,160,2024-12-17,Shipped,Card,Pickup
278,248,2024-12-22,Shipped,M-Pesa,Express
279,232,2024-11-22,Completed,Bank Transfer,Standard
280,59,2024-01-24,Returned,Bank Transfer,Pickup
281,56,2025-11-24,Returned,Card,Pickup
282,125,2025-06-12,Completed,Card,Express
283,287,2025-03-12,Shipped,Card,Express
284,95,2024-07-09,Cancelled,Cash,Express
285,15,2025-09-20,Completed,Cash,Pickup
286,220,2025-02-02,Completed,Card,Standard
287,143,2025-12-21,Returned,M-Pesa,Pickup
288,53,2025-07-03,Completed,Bank Transfer,Express
289,101,2025-04-13,Completed,Bank Transfer,Pickup
290,251,2025-06-24,Cancelled,Bank Transfer,Pickup
291,199,2025-09-17,Shipped,M-Pesa,Express
292,181,2025-04-13,Processing,Card,Pickup
293,153,2025-09-21,Processing,M-Pesa,Pickup
294,69,2024-11-16,Completed,Card,Express
295,60,2024-07-06,Completed,Card,Pickup
296,199,2025-03-04,Processing,Card,Pickup
297,197,2025-03-09,Completed,Cash,Pickup
298,276,2025-12-11,Cancelled,Card,Pickup
299,86,2025-05-16,Completed,Card,Standard
300,162,2025-04-06,Processing,M-Pesa,Express
301,5,2025-05-11,Completed,Card,Express
302,288,2025-06-01,Cancelled,Cash,Express
303,252,2025-03-01,Cancelled,Cash,Express
304,86,2024-03-25,Processing,M-Pesa,Standard
305,150,2024-02-03,Completed,Card,Pickup
306,148,2024-06-21,Returned,Cash,Pickup
307,254,2025-07-16,Processing,M-Pesa,Pickup
308,59,2024-10-01,Returned,Bank Transfer,Pickup
309,22,2025-03-27,Processing,Card,Express
310,53,2025-10-31,Returned,Card,Express
311,17,2025-04-05,Completed,Bank Transfer,Standard
312,225,2024-04-30,Returned,Card,Standard
313,180,2025-12-28,Processing,Cash,Standard
314,72,2024-07-30,Returned,Card,Standard
315,292,2024-12-25,Processing,Bank Transfer,Pickup
316,276,2024-06-21,Completed,Bank Transfer,Express
317,294,2024-09-30,Returned,M-Pesa,Standard
318,211,2024-03-01,Completed,Card,Pickup
319,68,2024-09-12,Completed,Bank Transfer,Standard
320,202,2025-05-16,Completed,Bank Transfer,Pickup
321,213,2025-01-19,Shipped,M-Pesa,Pickup
322,48,2025-02-16,Processing,Bank Transfer,Pickup
323,189,2025-04-10,Shipped,Bank Transfer,Pickup
324,2,2024-04-05,Cancelled,Cash,Pickup
325,184,2024-03-05,Returned,Cash,Standard
326,220,2024-08-04,Shipped,Bank Transfer,Express
327,146,2024-12-11,Processing,Card,Pickup
328,249,2024-12-17,Cancelled,M-Pesa,Standard
329,51,2025-10-03,Returned,Cash,Standard
330,64,2024-06-10,Shipped,Cash,Standard
331,220,2024-07-26,Cancelled,Card,Pickup
332,155,2024-06-11,Returned,Bank Transfer,Standard
333,185,2024-09-13,Completed,Bank Transfer,Pickup
334,85,2024-02-23,Shipped,Bank Transfer,Pickup
335,120,2025-03-15,Cancelled,M-Pesa,Pickup
336,49,2024-01-02,Completed,Cash,Standard
337,68,2025-08-30,Completed,Cash,Standard
338,5,2025-12-13,Completed,M-Pesa,Express
339,68,2025-05-04,Completed,Card,Express
340,46,2024-04-14,Completed,Bank Transfer,Express
341,154,2024-05-20,Shipped,Card,Pickup
342,74,2024-03-11,Processing,M-Pesa,Pickup
343,85,2025-03-26,Completed,Card,Pickup
344,78,2025-02-25,Processing,Cash,Standard
345,45,2024-04-12,Completed,M-Pesa,Pickup
346,197,2024-12-25,Shipped,Bank Transfer,Standard
347,127,2024-10-10,Cancelled,M-Pesa,Standard
348,284,2025-09-07,Processing,Bank Transfer,Pickup
349,14,2025-11-05,Completed,Card,Pickup
350,261,2024-07-12,Cancelled,Cash,Express
351,28,2024-09-02,Shipped,Cash,Standard
352,124,2025-05-26,Cancelled,M-Pesa,Pickup
353,7,2025-01-04,Completed,Card,Express
354,292,2025-03-06,Completed,Card,Express
355,38,2024-01-18,Processing,M-Pesa,Standard
356,135,2024-08-08,Completed,M-Pesa,Express
357,260,2024-10-20,Cancelled,Cash,Express
358,206,2024-03-25,Cancelled,Card,Express
359,43,2024-11-13,Completed,Card,Standard
360,275,2024-11-30,Shipped,M-Pesa,Express
361,224,2024-09-01,Completed,Card,Standard
362,223,2024-04-28,Shipped,M-Pesa,Express
363,90,2024-05-02,Completed,Card,Pickup
364,6,2024-06-16,Shipped,Bank Transfer,Pickup
365,265,2024-09-22,Completed,Bank Transfer,Standard
366,138,2024-04-30,Returned,M-Pesa,Express
367,220,2024-10-05,Processing,M-Pesa,Express
368,296,2025-10-04,Completed,Cash,Express
369,262,2025-01-03,Completed,Cash,Pickup
370,86,2025-01-11,Completed,Bank Transfer,Standard
371,294,2025-11-21,Cancelled,M-Pesa,Standard
372,261,2024-01-03,Completed,M-Pesa,Standard
373,24,2025-04-28,Completed,Cash,Standard
374,92,2024-02-06,Processing,Cash,Standard
375,165,2024-09-11,Shipped,Bank Transfer,Express
376,40,2025-08-08,Completed,M-Pesa,Pickup
377,27,2024-07-02,Completed,M-Pesa,Express
378,36,2025-04-21,Returned,Bank Transfer,Express
379,168,2024-03-29,Processing,Cash,Standard
380,189,2024-07-24,Completed,Bank Transfer,Pickup
381,125,2025-04-20,Completed,Cash,Standard
382,280,2024-09-08,Completed,M-Pesa,Express
383,13,2024-08-26,Processing,Bank Transfer,Pickup
384,5,2024-12-09,Completed,Cash,Pickup
385,158,2024-04-16,Completed,Card,Express
386,252,2024-03-02,Completed,Bank Transfer,Standard
387,23,2024-08-25,Returned,Cash,Pickup
388,191,2025-04-14,Cancelled,M-Pesa,Pickup
389,49,2025-06-01,Completed,Cash,Standard
390,291,2024-03-04,Shipped,Card,Standard
391,150,2024-09-24,Returned,Bank Transfer,Express
392,168,2024-11-21,Shipped,Bank Transfer,Standard
393,39,2024-07-26,Completed,M-Pesa,Standard
394,55,2024-06-17,Shipped,Cash,Express
395,209,2024-05-03,Processing,Bank Transfer,Standard
396,232,2024-11-11,Shipped,Bank Transfer,Standard
397,47,2024-06-10,Returned,Bank Transfer,Pickup
398,21,2024-08-08,Returned,Bank Transfer,Standard
399,47,2025-12-29,Completed,Bank Transfer,Express
400,263,2024-02-20,Cancelled,Bank Transfer,Express
401,90,2024-02-01,Shipped,Cash,Pickup
402,282,2024-09-12,Completed,Cash,Standard
403,72,2024-05-04,Completed,M-Pesa,Standard
404,67,2024-07-21,Returned,Cash,Express
405,44,2025-08-19,Processing,Bank Transfer,Standard
406,12,2024-03-07,Completed,Cash,Standard
407,48,2024-12-05,Completed,M-Pesa,Express
408,26,2024-06-21,Processing,Cash,Pickup
409,203,2025-05-23,Completed,Cash,Pickup
410,219,2024-06-25,Completed,Card,Standard
411,141,2024-10-13,Shipped,Card,Standard
412,126,2025-10-24,Completed,Cash,Express
413,282,2025-05-05,Completed,M-Pesa,Express
414,197,2024-05-20,Shipped,Card,Pickup
415,270,2024-09-12,Cancelled,M-Pesa,Express
416,184,2025-05-06,Processing,Cash,Express
417,290,2025-05-29,Completed,Cash,Express
418,93,2024-01-27,Completed,Card,Standard
419,144,2024-02-29,Returned,Cash,Pickup
420,184,2025-08-21,Completed,Card,Standard
421,127,2025-11-03,Completed,Bank Transfer,Pickup
422,29,2024-08-12,Processing,Cash,Express
423,89,2024-06-29,Completed,Bank Transfer,Pickup
424,184,2025-08-28,Completed,Bank Transfer,Pickup
425,289,2024-05-25,Processing,Card,Express
426,278,2024-11-12,Completed,Cash,Standard
427,47,2024-02-27,Completed,Card,Standard
428,270,2025-05-04,Completed,Bank Transfer,Pickup
429,104,2024-05-13,Completed,Card,Express
430,31,2024-01-23,Completed,Card,Standard
431,270,2025-01-08,Completed,Bank Transfer,Pickup
432,203,2025-08-23,Completed,Bank Transfer,Express
433,166,2024-05-19,Completed,Cash,Pickup
434,250,2025-10-26,Completed,Card,Pickup
435,288,2025-12-11,Processing,Bank Transfer,Standard
436,90,2025-01-22,Completed,Bank Transfer,Standard
437,91,2024-01-02,Cancelled,Cash,Pickup
438,17,2024-07-05,Processing,Bank Transfer,Pickup
439,114,2025-10-16,Processing,M-Pesa,Express
440,73,2024-12-05,Cancelled,M-Pesa,Standard
441,178,2024-11-23,Completed,M-Pesa,Pickup
442,172,2025-04-02,Completed,Bank Transfer,Standard
443,128,2025-12-10,Completed,Bank Transfer,Express
444,56,2024-01-02,Completed,Cash,Express
445,215,2024-06-19,Shipped,Cash,Express
446,180,2025-07-13,Shipped,M-Pesa,Express
447,296,2025-10-28,Returned,Card,Standard
448,232,2024-03-16,Returned,M-Pesa,Express
449,11,2024-11-22,Completed,M-Pesa,Standard
450,176,2024-06-23,Shipped,Card,Pickup
451,39,2025-07-14,Completed,Bank Transfer,Pickup
452,248,2025-12-22,Completed,Cash,Pickup
453,85,2025-09-13,Shipped,Card,Standard
454,52,2024-12-05,Completed,Card,Express
455,284,2025-07-07,Completed,Bank Transfer,Express
456,122,2024-04-08,Completed,Cash,Pickup
457,282,2025-05-17,Completed,M-Pesa,Express
458,2,2025-03-13,Completed,Bank Transfer,Pickup
459,246,2024-07-23,Completed,M-Pesa,Standard
460,88,2025-10-15,Completed,M-Pesa,Express
461,60,2024-11-11,Returned,Cash,Express
462,251,2025-11-07,Completed,M-Pesa,Pickup
463,279,2025-01-31,Completed,Bank Transfer,Express
464,190,2024-07-10,Shipped,M-Pesa,Express
465,226,2025-04-21,Completed,Card,Express
466,289,2024-03-04,Completed,M-Pesa,Standard
467,177,2025-07-08,Shipped,Card,Pickup
468,32,2025-01-31,Returned,Cash,Pickup
469,244,2025-08-09,Completed,Cash,Express
470,41,2025-02-08,Returned,M-Pesa,Pickup
471,293,2025-06-13,Returned,Card,Standard
472,230,2024-06-26,Completed,Card,Standard
473,65,2024-02-13,Shipped,M-Pesa,Pickup
474,223,2024-07-25,Returned,Card,Pickup
475,133,2024-11-23,Cancelled,M-Pesa,Standard
476,199,2025-07-23,Shipped,Bank Transfer,Express
477,267,2025-04-14,Returned,M-Pesa,Pickup
478,268,2025-03-05,Completed,Cash,Standard
479,76,2025-08-03,Processing,M-Pesa,Standard
480,289,2024-04-13,Returned,Bank Transfer,Pickup
481,177,2025-02-24,Completed,Cash,Pickup
482,249,2025-08-08,Processing,Cash,Standard
483,89,2024-10-09,Shipped,Card,Pickup
484,206,2024-02-09,Shipped,Bank Transfer,Pickup
485,122,2024-02-20,Cancelled,Cash,Express
486,191,2024-01-21,Completed,Bank Transfer,Express
487,144,2025-05-18,Returned,M-Pesa,Standard
488,69,2024-11-03,Cancelled,Cash,Express
489,138,2025-03-02,Processing,M-Pesa,Standard
490,227,2024-08-04,Returned,Cash,Pickup
491,249,2025-06-12,Returned,Bank Transfer,Standard
492,264,2024-06-11,Completed,Bank Transfer,Pickup
493,260,2025-02-17,Completed,M-Pesa,Standard
494,99,2024-07-24,Returned,M-Pesa,Standard
495,17,2025-04-12,Completed,Bank Transfer,Pickup
496,102,2024-10-07,Completed,Cash,Pickup
497,204,2025-10-12,Completed,M-Pesa,Standard
498,191,2025-05-15,Processing,Cash,Standard
499,243,2025-08-23,Processing,Bank Transfer,Express
500,84,2024-09-21,Cancelled,M-Pesa,Express
501,15,2025-01-30,Completed,Card,Pickup
502,110,2024-08-14,Cancelled,Card,Pickup
503,106,2024-10-02,Cancelled,Cash,Pickup
504,11,2025-11-29,Completed,Cash,Standard
505,89,2025-09-07,Returned,M-Pesa,Standard
506,130,2025-09-14,Returned,Bank Transfer,Pickup
507,141,2025-03-09,Shipped,Bank Transfer,Express
508,130,2024-08-11,Shipped,Bank Transfer,Pickup
509,267,2025-09-30,Shipped,M-Pesa,Standard
510,262,2025-11-09,Returned,Bank Transfer,Pickup
511,145,2024-11-01,Cancelled,M-Pesa,Express
512,33,2024-12-10,Completed,Bank Transfer,Express
513,134,2025-11-02,Cancelled,Bank Transfer,Standard
514,77,2025-06-13,Returned,Card,Standard
515,207,2025-11-07,Completed,Card,Pickup
516,14,2025-11-02,Shipped,Bank Transfer,Express
517,215,2025-02-18,Shipped,M-Pesa,Pickup
518,293,2024-07-13,Completed,Card,Pickup
519,274,2025-10-15,Returned,Cash,Pickup
520,184,2025-06-03,Completed,Card,Pickup
521,286,2024-07-04,Completed,M-Pesa,Express
522,66,2024-09-21,Cancelled,Card,Pickup
523,172,2025-11-01,Completed,Card,Express
524,115,2024-11-10,Shipped,Bank Transfer,Express
525,134,2025-08-22,Completed,Cash,Standard
526,241,2024-02-24,Returned,M-Pesa,Express
527,100,2025-05-27,Completed,Cash,Pickup
528,153,2025-02-27,Completed,Card,Standard
529,103,2024-12-16,Shipped,Cash,Standard
530,162,2024-07-03,Returned,M-Pesa,Express
531,171,2025-10-08,Completed,Bank Transfer,Pickup
532,30,2024-01-05,Shipped,Bank Transfer,Standard
533,87,2025-08-13,Returned,Card,Express
534,46,2024-05-12,Processing,Cash,Pickup
535,220,2025-02-17,Shipped,Cash,Express
536,3,2024-02-08,Processing,Card,Pickup
537,192,2024-01-15,Completed,Card,Standard
538,3,2025-10-03,Cancelled,Card,Standard
539,177,2024-11-15,Completed,M-Pesa,Express
540,258,2025-08-25,Completed,Card,Standard
541,24,2024-11-01,Completed,Cash,Pickup
542,267,2025-09-02,Processing,Bank Transfer,Express
543,69,2024-12-16,Shipped,Bank Transfer,Standard
544,85,2025-02-17,Completed,Card,Standard
545,68,2024-08-04,Cancelled,M-Pesa,Pickup
546,259,2024-06-22,Completed,Bank Transfer,Pickup
547,20,2025-01-19,Cancelled,Bank Transfer,Pickup
548,25,2025-08-31,Completed,M-Pesa,Pickup
549,11,2024-02-19,Cancelled,M-Pesa,Express
550,228,2025-01-24,Completed,Bank Transfer,Express
551,79,2024-07-29,Cancelled,M-Pesa,Express
552,216,2025-11-08,Completed,Bank Transfer,Pickup
553,71,2025-03-04,Returned,M-Pesa,Pickup
554,61,2024-10-16,Completed,M-Pesa,Express
555,102,2025-09-15,Completed,Bank Transfer,Pickup
556,104,2025-01-01,Cancelled,Cash,Express
557,83,2024-02-10,Processing,Cash,Standard
558,247,2024-12-04,Completed,M-Pesa,Standard
